episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
208,24,24,0.0,-0.006573649821802974,26.720539887746174,,,,,,,,,,,,0.015488202023940781,0.1724283859754602,0.35312767202655476,0.3262222831447919,0.2355099314202865,0.04105190671273076
210,24,24,0.0,-0.01186361969060575,18.74756254752477,,,,,,,,,,,,0.014120474341325462,0.1518554692156613,0.35317020987470943,0.32627784088253975,0.15531077918907008,0.03981071705534975
212,24,24,0.0,-0.003270256759909292,17.633651951948803,,,,,,,,,,,,0.018938362210368116,0.22421875037252903,0.3532922590772311,0.3264463357627392,0.1716748041411241,0.03860705432153811
214,24,24,0.0,-0.015275997825180335,9.421077529589335,,,,,,,,,,,,0.01237309692199536,0.1343750006829699,0.35289760679006577,0.32589561864733696,0.20475613015393415,0.037439783898238106
216,24,24,0.0,-0.005469289103833337,9.844293077786764,,,,,,,,,,,,0.02332847420863497,0.23759765612582365,0.35231692840655643,0.32508167376120883,0.1850657897690932,0.03630780547701015
218,24,24,0.0,-0.014886956914172819,18.426503280798595,,,,,,,,,,,,0.015633265196811408,0.17848307359963655,0.352464875827233,0.3252862257262071,0.18212529582281908,0.035210052016845204
220,18,24,0.0,-0.0011563845619093627,11.80448603630066,,,,,,,,,,,,0.017805914996036638,0.18194444560342365,0.352589863869879,0.3254587948322296,0.22046209623416266,0.03414548873833602
222,6,24,0.0,0.027254197901735704,15.022668838500977,,,,,,,,,,,,0.030734579001242917,0.27200521032015484,0.3523148496945699,0.32507195075352985,0.20333219319581985,0.03311311214825912
224,24,24,0.0,-0.017138433720295627,12.748477955659231,,,,,,,,,,,,0.01695588413470735,0.20016276091337204,0.35184921820958454,0.324410912891229,0.2032351866364479,0.03211194909364822
226,24,24,0.0,-0.008491546517082801,9.763261695702871,,,,,,,,,,,,0.02209071450245877,0.2160481767108043,0.35133810962239903,0.32368134955565137,0.25850986937681836,0.03114105584446759
228,12,24,0.0,-7.123973531027634e-05,18.898085316022236,,,,,,,,,,,,0.027127772957707446,0.20006510491172472,0.35138807942469913,0.323751596113046,0.231273436297973,0.030199517204020157
230,12,24,0.0,0.0033746141319473586,10.254025936126709,,,,,,,,,,,,0.029522120554853853,0.2577473968267441,0.35117801278829575,0.3234601765871048,0.1970478519797325,0.029286445646252362
232,12,24,0.0,0.007087375017969559,31.938163598378498,,,,,,,,,,,,0.01940809531758229,0.19752604328095913,0.35097452501455945,0.3231787507732709,0.19688304016987482,0.02840098047914215
234,24,24,0.0,-0.0034100787403682866,16.556336581707,,,,,,,,,,,,0.014125873286199445,0.1691731771764656,0.3510095998644829,0.3232248363395532,0.18567080982029438,0.027542287033381675
236,24,24,0.0,-0.004470145135807495,19.020185311635334,,,,,,,,,,,,0.018329310939103987,0.210579426959157,0.3513253095249335,0.3236584390203158,0.1920505960782369,0.026709555875589864
238,18,24,0.0,0.003147934356497394,10.272089083989462,,,,,,,,,,,,0.02502407472477191,0.2373697923289405,0.35149384869469535,0.32389069265789455,0.19731580217679343,0.025902002045313236
240,24,24,0.0,-0.00719695685741802,18.525141835212708,,,,,,,,,,,,0.013981295606451264,0.16669921887417635,0.3513226968546708,0.32364898671706516,0.17997757345438004,0.025118864315095798
